E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00    124.62    0.00    0.00    0.00    0.00
  0     200       2034.70   6158.11   56.70   59.32   54.30    0.57
  0     400         85.44    810.77   94.53   95.16   93.91    0.95
  0     600         64.56    302.04   94.78   95.30   94.27    0.95
  0     800         65.34    201.76   97.97   97.97   97.97    0.98
  0    1000         81.13    156.01   98.03   98.09   97.97    0.98
  0    1200        113.35    202.88   97.80   97.62   97.97    0.98
  0    1400         50.69    143.18   97.97   97.86   98.09    0.98
  0    1600        784.38    267.84   98.21   98.10   98.33    0.98
  0    1800        354.44    165.62   97.74   97.51   97.97    0.98
  0    2000        138.72    198.55   97.86   97.51   98.21    0.98
  0    2200        304.15    320.44   97.86   97.62   98.09    0.98
  0    2400        121.13    170.49   97.80   97.62   97.97    0.98
  0    2600        209.38    187.83   98.09   98.21   97.97    0.98
  0    2800        251.85    256.73   98.09   98.32   97.85    0.98
  0    3000        842.73    212.15   98.15   98.32   97.97    0.98
  0    3200        134.00    103.29   97.97   98.09   97.85    0.98
  0    3400        782.42     84.11   98.33   98.56   98.09    0.98
  0    3600        110.76     79.63   98.44   98.80   98.09    0.98
  0    3800        137.67     84.88   98.56   98.92   98.21    0.99
  0    4000        428.27     82.79   98.62   98.92   98.33    0.99
  0    4200        136.92     67.79   98.50   98.80   98.21    0.99
  0    4400        119.28     65.40   98.38   98.68   98.09    0.98
  0    4600        155.13     76.28   98.39   98.56   98.21    0.98
  0    4800        169.61     78.60   98.33   98.44   98.21    0.98
  0    5000        816.36    106.75   98.27   98.21   98.33    0.98
  0    5200        169.48     83.45   98.62   99.04   98.21    0.99
  0    5400         70.83     48.79   98.03   98.09   97.97    0.98
  0    5600         82.96     37.16   98.32   98.80   97.85    0.98
  0    5800        215.10    100.90   97.92   97.51   98.33    0.98
  0    6000         94.06     63.56   98.26   98.68   97.85    0.98
